,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
75,aanbrengen?,aː n p r ɛ ŋ ɛ n,/ːnpr/ŋ/n,3,9,2
76,aanbrengt,aː n p r ɛ n x t,/ːnpr/nxt,2,9,3.5
77,aandacht,aː n d ɑ x t,/ːnd/xt,2,7,2.5
78,aandacht!,aː n d ɑ x t,/ːnd/xt,2,7,2.5
79,"aandacht,",aː n d ɑ x t,/ːnd/xt,2,7,2.5
80,aandacht.,aː n d ɑ x t,/ːnd/xt,2,7,2.5
81,aandachtig,aː n d ɑ x t ɪ x,/ːnd/xt/x,3,9,2
82,aandachtige,aː n d ɑ x t iː ɣ eː,/ːnd/xt/ːɣ/ː,4,12,2
83,aandachtiger,aː n d ɑ x t iː ɣ ɛ r,/ːnd/xt/ːɣ/r,4,12,2
84,aandachtspunt,aː n d ɑ x t s p ʏ n t,/ːnd/xtsp/nt,3,12,3
85,aandachtspunt.,aː n d ɑ x t s p ʏ n t,/ːnd/xtsp/nt,3,12,3
86,aandachtspunten,aː n d ɑ x t s p ʏ n t ɛ n,/ːnd/xtsp/nt/n,4,14,2.5
87,aandeel,aː n d eː l,/ːnd/ːl,2,7,2.5
88,aandeel.,aː n d eː l,/ːnd/ːl,2,7,2.5
89,aandeel?,aː n d eː l,/ːnd/ːl,2,7,2.5
90,aandeelhouders,aː n d eː l h ɑ w ʏ d ɛ r s,/ːnd/ːlh/w/d/rs,5,15,2
91,aandelen,aː n d eː l ɛ n,/ːnd/ːl/n,3,9,2
92,aandient.,aː n d iː n t,/ːnd/ːnt,2,8,3
93,aandoen.,aː n d uː n,/ːnd/ːn,2,7,2.5
94,aandoening,aː n d uː ɛ n ɪ n x,/ːnd/ː/n/nx,4,11,1.75
95,aandoening.,aː n d uː ɛ n ɪ ŋ,/ːnd/ː/n/ŋ,4,10,1.5
96,aandoeningen,aː n d uː ɛ n ɪ ŋ ɛ n,/ːnd/ː/n/ŋ/n,5,12,1.4
97,aandoet.,aː n d uː t,/ːnd/ːt,2,7,2.5
98,aandraagt.,aː n t r aː x t,/ːntr/ːxt,2,9,3.5
99,aandragen,aː n t r aː ɣ ɛ n,/ːntr/ːɣ/n,3,10,2.3333333333333335
100,aandragen.,aː n t r aː ɣ ɛ n,/ːntr/ːɣ/n,3,10,2.3333333333333335
101,aandrang,aː n t r ɑ n x,/ːntr/nx,2,8,3
102,aandrijfas.,aː n t r ɛ j f ɑ s,/ːntr/jf/s,3,10,2.3333333333333335
103,aandrijvingskracht,aː n t r ɛ j v ɪ n x s k r ɑ x t,/ːntr/jv/nxskr/xt,4,17,3.25
104,aandringen,aː n t r ɪ ŋ ɛ n,/ːntr/ŋ/n,3,9,2
105,aandringen.,aː n t r ɪ ŋ ɛ n,/ːntr/ŋ/n,3,9,2
106,aandringt.,aː n t r ɪ n x t,/ːntr/nxt,2,9,3.5
107,aanduiden,aː n d œ ɥ ɪ d ɛ n,/ːnd/ɥ/d/n,4,10,1.5
108,aanduiden?,aː n d œ ɥ ɪ d ɛ n,/ːnd/ɥ/d/n,4,10,1.5
109,aanduidingen.,aː n d œ ɥ ɪ d ɪ ŋ ɛ n,/ːnd/ɥ/d/ŋ/n,5,12,1.4
110,aaneen,aː ɑ n eː n,/ː/n/ːn,3,7,1.3333333333333333
111,aaneenrijgen,aː ɑ n eː n r ɛ j ɣ ɛ n,/ː/n/ːnr/jɣ/n,5,13,1.6
112,aaneenschakeling,aː ɑ n eː n s x aː k eː l ɪ n x,/ː/n/ːnsx/ːk/ːl/nx,6,18,2
113,aanfluiting,aː n f l œ ɥ ɪ t ɪ n x,/ːnfl/ɥ/t/nx,4,12,2
114,aanfluiting.,aː n f l œ ɥ ɪ t ɪ ŋ,/ːnfl/ɥ/t/ŋ,4,11,1.75
115,aangaan,aː ŋ aː n,/ːŋ/ːn,2,6,2
