,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
55,அடவி,ʔ a ɖ a ʋ i,ʔ/ɖ/ʋ/,3,6,1
56,அடி,ʔ a ɖ i,ʔ/ɖ/,2,4,1
57,அடிகேயா,ʔ a ɖ i ɡ eː j aː,ʔ/ɖ/ɡ/ːj/ː,4,10,1.2
58,அடிக்கடி,ʔ a ɖ i kː a ɖ i,ʔ/ɖ/kː/ɖ/,4,9,1.25
59,அடிக்கொருக்கால்,ʔ a ɖ i kː o ɾ u kː aː l,ʔ/ɖ/kː/ɾ/kː/ːl,5,14,1.5
60,அடித்தட்டு,ʔ a ɖ i t̪ː a ʈː u,ʔ/ɖ/t̪ː/ʈː/,4,11,1.75
61,அடித்தளம்,ʔ a ɖ i t̪ː a ɭ a m,ʔ/ɖ/t̪ː/ɭ/m,4,11,1.4
62,அடிநிலை,ʔ a ɖ i n̪ i l aj,ʔ/ɖ/n̪/l/j,4,10,1.2
63,அடிப்பகுதி,ʔ a ɖ i pː a ɡ u d̪ i,ʔ/ɖ/pː/ɡ/d̪/,5,12,1.4
64,அடிப்பாகம்,ʔ a ɖ i pː aː ɡ a m,ʔ/ɖ/pː/ːɡ/m,4,11,1.4
65,அடிமுடி,ʔ a ɖ i m u ɖ i,ʔ/ɖ/m/ɖ/,4,8,1
66,அடிமை,ʔ a ɖ i m aj,ʔ/ɖ/m/j,3,7,1
67,அடுத்த,ʔ a ɖ u t̪ː a,ʔ/ɖ/t̪ː/,3,8,1.6666666666666667
68,அடுப்பு,ʔ a ɖ u pː u,ʔ/ɖ/pː/,3,7,1.3333333333333333
69,அடை,ʔ a ɖ aj,ʔ/ɖ/j,2,5,1
70,அடைக்கலக்குருவி,ʔ a ɖ aj kː a l a kː u ɾ u ʋ i,ʔ/ɖ/jkː/l/kː/ɾ/ʋ/,7,17,1.4285714285714286
71,அடைக்காய்,ʔ a ɖ aj kː aː j,ʔ/ɖ/jkː/ːj,3,10,1.75
72,அடைப்பு,ʔ a ɖ aj pː u,ʔ/ɖ/jpː/,3,8,1.6666666666666667
73,அட்டம்,ʔ a ʈː a m,ʔ/ʈː/m,2,6,1.3333333333333333
74,அட்டை,ʔ a ʈː aj,ʔ/ʈː/j,2,6,1.3333333333333333
75,அணிகம்,ʔ a ɳ i ɡ a m,ʔ/ɳ/ɡ/m,3,7,1
76,அணியம்,ʔ a ɳ i j a m,ʔ/ɳ/j/m,3,7,1
77,அணில்,ʔ a ɳ i l,ʔ/ɳ/l,2,5,1
78,அணு,ʔ a ɳ u,ʔ/ɳ/,2,4,1
79,அண்டை,ʔ a ɳ ɖ aj,ʔ/ɳɖ/j,2,6,1.3333333333333333
80,அண்ணன்,ʔ a ɳː a n,ʔ/ɳː/n,2,6,1.3333333333333333
81,அண்ணா,ʔ a ɳː aː,ʔ/ɳː/ː,2,6,1.3333333333333333
82,அண்ணி,ʔ a ɳː i,ʔ/ɳː/,2,5,1.5
83,அதனால்,ʔ a d̪ a n aː l,ʔ/d̪/n/ːl,3,9,1.5
84,அதிகாரம்,ʔ a d̪ i ɡ aː ɾ a m,ʔ/d̪/ɡ/ːɾ/m,4,11,1.4
85,அதிர்ச்சி,ʔ a d̪ i ɾ tɕː i,ʔ/d̪/ɾtɕː/,3,10,2.3333333333333335
86,அது,ʔ a d̪ u,ʔ/d̪/,2,5,1.5
87,அதோள்,ʔ a d̪ oː ɭ,ʔ/d̪/ːɭ,2,7,1.6666666666666667
88,அத்தனை,ʔ a t̪ː a n aj,ʔ/t̪ː/n/j,3,9,1.5
89,அத்தியாபகன்,ʔ a t̪ː i j aː b a ɡ a n,ʔ/t̪ː/j/ːb/ɡ/n,5,14,1.5
90,அத்தை,ʔ a t̪ː aj,ʔ/t̪ː/j,2,7,1.6666666666666667
