,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
17985,ผู้เรียบเรียง,pʰ uː˥˩ r ia˥˩ p̚ r ia˧ ŋ,pʰ/ː˥˩r/˥˩p̚r/˧ŋ,3,18,3.25
17986,ผู้เลี้ยงสัตว์,pʰ uː˥˩ l ia˦˥ ŋ s a˨˩ t̚,pʰ/ː˥˩l/˦˥ŋs/˨˩t̚,3,18,3.5
17987,ผู้เลือกตั้ง,pʰ uː˥˩ l ɯa˥˩ k̚ t a˥˩ ŋ,pʰ/ː˥˩l/˥˩k̚t/˥˩ŋ,3,18,3.5
17988,ผู้เล่น,pʰ uː˥˩ l e˥˩ n,pʰ/ː˥˩l/˥˩n,2,11,3
17989,ผู้เล่นกองหน้า,pʰ uː˥˩ l e˥˩ n k ɔː˧ ŋ n aː˥˩,pʰ/ː˥˩l/˥˩nk/ː˧ŋn/ː˥˩,4,21,3.4
17990,ผู้เล่าเรื่อง,pʰ uː˥˩ l a˥˩ w r ɯa˥˩ ŋ,pʰ/ː˥˩l/˥˩wr/˥˩ŋ,3,17,3.25
17991,ผู้เสนอ,pʰ uː˥˩ s a˨˩ n ɤː˩˩˦,pʰ/ː˥˩s/˨˩n/ː˩˩˦,3,16,3.25
17992,ผู้เสียชีวิต,pʰ uː˥˩ s ia˩˩˦ tɕʰ iː˧ w i˦˥,pʰ/ː˥˩s/˩˩˦tɕʰ/ː˧w/˦˥,4,22,3.4
17993,ผู้เสียชีวิต,pʰ uː˥˩ s ia˩˩˦ tɕʰ iː˧ w i˦˥ t̚,pʰ/ː˥˩s/˩˩˦tɕʰ/ː˧w/˦˥t̚,4,24,3.8
17994,ผู้เสียภาษี,pʰ uː˥˩ s ia˩˩˦ pʰ aː˧ s iː˩˩˦,pʰ/ː˥˩s/˩˩˦pʰ/ː˧s/ː˩˩˦,4,23,3.6
17995,ผู้เสียหาย,pʰ uː˥˩ s ia˩˩˦ h aː˩˩˦ j,pʰ/ː˥˩s/˩˩˦h/ː˩˩˦j,3,19,3.75
17996,ผู้เหยียดผิว,pʰ uː˥˩ j ia˨˩ t̚ pʰ i˩˩˦ w,pʰ/ː˥˩j/˨˩t̚pʰ/˩˩˦w,3,20,4
17997,ผู้เห็นเหตุการณ์,pʰ uː˥˩ h e˩˩˦ n h eː˨˩ t̚ k aː˧ n,pʰ/ː˥˩h/˩˩˦nh/ː˨˩t̚k/ː˧n,4,24,4
17998,ผู้เอาประกันภัย,pʰ uː˥˩ ʔ a˧ w p r a˨˩ k a˧ n pʰ a˧ j,pʰ/ː˥˩ʔ/˧wpr/˨˩k/˧npʰ/˧j,5,24,3.1666666666666665
17999,ผู้แต่ง,pʰ uː˥˩ t ɛː˨˩ ŋ,pʰ/ː˥˩t/ː˨˩ŋ,2,12,3.3333333333333335
18000,ผู้แทน,pʰ uː˥˩ tʰ ɛː˧ n,pʰ/ː˥˩tʰ/ː˧n,2,12,3.3333333333333335
18001,ผู้แทนจำหน่าย,pʰ uː˥˩ tʰ ɛː˧ n tɕ a˧ m n aː˨˩ j,pʰ/ː˥˩tʰ/ː˧ntɕ/˧mn/ː˨˩j,4,23,3.8
