,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
87,bamža,b a m ʒ a,b/mʒ/,2,5,1.5
88,banki,b a n k i,b/nk/,2,5,1.5
89,barbiłoj,b a ʀ b i w o j,b/ʀb/w/j,3,8,1.25
90,barbu,b a ʀ b u,b/ʀb/,2,5,1.5
91,barjerow,b a ʀʲ e ʀ o w,b/ʀʲ/ʀ/w,3,8,1.25
92,baroka,b a ʀ o k a,b/ʀ/k/,3,6,1
93,baskišćina,b a s k i ʃ tʃ i n a,b/sk/ʃtʃ/n/,4,11,1.75
94,baterija,b a t e ʀ i j a,b/t/ʀ/j/,4,8,1
95,baterije,b a t e ʀ i j e,b/t/ʀ/j/,4,8,1
96,bauhausa,b a u h a u s a,b/h/s/,3,8,1
97,baćon,b a tʃ o n,b/tʃ/n,2,6,1.3333333333333333
98,baćonscy,b a tʃ o n s ts ɨ,b/tʃ/nsts/,3,10,2.3333333333333335
99,beckmann,b e ts k m a n n,b/tskm/nn,2,9,2.3333333333333335
100,belgiskeje,b e l ɡ i s k e j e,b/lɡ/sk/j/,4,10,1.5
101,benjamina,b e nʲ a m i n a,b/nʲ/m/n/,4,9,1.25
102,benje,b e nʲ e,b/nʲ/,2,5,1.5
103,berlina,b e ʀ l i n a,b/ʀl/n/,3,7,1.3333333333333333
104,berlinje,b e ʀ l i nʲ e,b/ʀl/nʲ/,3,8,1.6666666666666667
105,berlinskej,b e ʀ l i n s k e j,b/ʀl/nsk/j,3,10,1.75
106,berlinsku,b e ʀ l i n s k u,b/ʀl/nsk/,3,9,2
107,betlehemsku,b e t l e h e m s k u,b/tl/h/msk/,4,11,1.75
108,bi-kulturneje,b i k u l t u ʀ n e j e,b/k/lt/ʀn/j/,5,12,1.4
109,biblioteka,b i b l i o t e k a,b/bl/t/k/,4,10,1.25
110,biblioteku,b i b l i o t e k u,b/bl/t/k/,4,10,1.25
111,bilancujemy,b i l a n ts u j e m ɨ,b/l/nts/j/m/,5,12,1.4
112,bilingualnje,b i l i n ɡ u a l nʲ e,b/l/nɡ/lnʲ/,4,12,1.75
113,bilingualny,b i l i n ɡ u a l n ɨ,b/l/nɡ/ln/,4,11,1.5
114,bingener,b i n ɡ e n e ʀ,b/nɡ/n/ʀ,3,8,1.25
115,biografija,b i o ɡ ʀ a f i j a,b/ɡʀ/f/j/,4,10,1.25
116,biologiska,b i o l o ɡ i s k a,b/l/ɡ/sk/,4,10,1.25
117,biosferoweho,b i o s f e ʀ o w e h o,b/sf/ʀ/w/h/,5,12,1.2
118,biosferowym,b i o s f e ʀ o w ɨ m,b/sf/ʀ/w/m,4,11,1.2
119,biotona,b i o t o n a,b/t/n/,3,7,1
120,biotonu,b i o t o n u,b/t/n/,3,7,1
121,biskopam,b i s k o p a m,b/sk/p/m,3,8,1.25
122,biskopstwje,b i s k o p s t wʲ e,b/sk/pstwʲ/,3,11,2.6666666666666665
123,bitwy,b i t w ɨ,b/tw/,2,5,1.5
124,bjez,bʲ e z,bʲ/z,1,4,1.5
125,bjezdwěla,bʲ e z d w ɪ l a,bʲ/zdw/l/,3,9,2
126,bjezposrědnje,bʲ e z p o s ʀ ɪ d nʲ e,bʲ/zp/sʀ/dnʲ/,4,13,2.25
127,bjezposrědny,bʲ e z p o s ʀ ɪ d n ɨ,bʲ/zp/sʀ/dn/,4,12,2
128,bjezwuhladnym,bʲ e z w u h l a d n ɨ m,bʲ/zw/hl/dn/m,4,13,1.8
