,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
8303,ki,cʰ iː,cʰ/ː,1,4,1.5
8304,kick,cʰ i k,cʰ/k,1,4,1.5
8305,kicked,cʰ i k t,cʰ/kt,1,5,2
8306,kicking,cʰ i c i ŋ ɡ,cʰ/c/ŋɡ,2,7,1.6666666666666667
8307,kicks,cʰ i k s,cʰ/ks,1,5,2
8308,kickstarted,cʰ i k s t a t ɛ d,cʰ/kst/t/d,3,10,1.75
8309,kid,cʰ i d,cʰ/d,1,4,1.5
8310,kidnapped,cʰ i d n a p t,cʰ/dn/pt,2,8,2
8311,kidnapping,cʰ i d n a pʲ i ŋ ɡ,cʰ/dn/pʲ/ŋɡ,3,11,2
8312,kidney,cʰ i d ɲ i,cʰ/dɲ/,2,6,2
8313,kidneys,cʰ i d ɲ i z,cʰ/dɲ/z,2,7,1.6666666666666667
8314,kids,cʰ i d z,cʰ/dz,1,5,2
8315,kids,cʰ i t s,cʰ/ts,1,5,2
8316,kilishi,cʰ i ʎ i ʃ i,cʰ/ʎ/ʃ/,3,7,1.3333333333333333
8317,kill,cʰ i ɫ,cʰ/ɫ,1,4,1.5
8318,killed,cʰ i ɫ d,cʰ/ɫd,1,5,2
8319,killer,cʰ i l a,cʰ/l/,2,5,1.5
8320,killing,cʰ i ʎ i ŋ ɡ,cʰ/ʎ/ŋɡ,2,7,1.6666666666666667
8321,killings,cʰ i ʎ i ŋ ɡ z,cʰ/ʎ/ŋɡz,2,8,2
8322,kills,cʰ i ɫ z,cʰ/ɫz,1,5,2
8323,kilode,cʰ iː l ɔ d e,cʰ/ːl/d/,3,8,1.6666666666666667
8324,kilogram,cʰ i l ɔ ɡ ɹ a m,cʰ/l/ɡɹ/m,3,9,1.5
8325,kilogramme,cʰ i l ɔ ɡ ɹ a m,cʰ/l/ɡɹ/m,3,9,1.5
8326,kilolitre,cʰ i l ɔ ʎ iː t a,cʰ/l/ʎ/ːt/,4,10,1.5
8327,kilolitres,cʰ i l ɔ ʎ iː t a z,cʰ/l/ʎ/ːt/z,4,11,1.4
8328,kilometers,cʰ i l ɔ mʲ i t a z,cʰ/l/mʲ/t/z,4,11,1.4
8329,kilometers,cʰ iː l ɔ mʲ i t a z,cʰ/ːl/mʲ/t/z,4,12,1.6
