,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
73,اسٹوریائی,ɪ s ʈ oː ɾ j ɑː iː,/sʈ/ːɾj/ː/ː,4,11,1.75
74,اسکا,ɪ s k ɑː,/sk/ː,2,5,1.5
75,اسکندر,ɪ s k n d̪ ə ɾ,/sknd̪/ɾ,2,8,3
76,اسکینگ,ɪ s k iː ŋ ɡ,/sk/ːŋɡ,2,7,2.5
77,اسی,ə s iː,/s/ː,2,4,1
78,اسے,ɪ s eː,/s/ː,2,4,1
79,اشارہ,ɪ ʃ ɑː ɾ ɑː,/ʃ/ːɾ/ː,3,7,1.3333333333333333
80,اصل,ə s ə l,/s/l,2,4,1
81,اصلاح,ɪ s l ɑː ɦ,/sl/ːɦ,2,6,2
82,اضافہ,ɪ z ɑː f ə,/z/ːf/,3,6,1.5
83,اضافی,ɪ z ɑː f iː,/z/ːf/ː,3,7,1.3333333333333333
84,اضافے,ɪ z ɑː f eː,/z/ːf/ː,3,7,1.3333333333333333
85,اظہار,ə z ɦ ɑː ɾ,/zɦ/ːɾ,2,6,2
86,اظہر,ə z ɦ ə ɾ,/zɦ/ɾ,2,5,1.5
87,اعتبار,ə ʔ ə t̪ b ɑː ɾ,/ʔ/t̪b/ːɾ,3,9,2
88,اعتراضات,ɑː t̪ ɾ ɑː z ɑː t̪,/ːt̪ɾ/ːz/ːt̪,3,12,3
89,اعظم,ɑː z ɪ m,/ːz/m,2,5,1.5
90,اعلان,ə ɑː l ɑː n,/ːl/ːn,2,7,2
91,اعلی,ə ɑː l iː,/ːl/ː,2,6,1.5
92,اغاز,ə ɣ ɑː z,/ɣ/ːz,2,5,1.5
93,افتتاح,ə f t̪ t̪ ɑː ɦ,/ft̪t̪/ːɦ,2,9,3.5
94,افریقہ,ə f ɾ iː q ə,/fɾ/ːq/,3,7,2
95,افغانستان,ə f ɣ ɑː n ɪ s t̪ ɑː n,/fɣ/ːn/st̪/ːn,4,13,2.25
96,اقتدار,ɪ q t̪ ɪ d̪ ɑː ɾ,/qt̪/d̪/ːɾ,3,10,2.3333333333333335
97,اقتصادی,ɪ q t̪ ɪ s ɑː d̪ iː,/qt̪/s/ːd̪/ː,4,12,2
98,اقدار,ə q d̪ ɑː ɾ,/qd̪/ːɾ,2,7,2.5
99,اقوام,ɪ q ʋ ɑː m,/qʋ/ːm,2,6,2
100,البرٹ,ə l b ə ɾ ʈ,/lb/ɾʈ,2,6,2
101,الحق,ɪ l ɦ q,/lɦq,1,4,3
102,الدھر,ə l d̪ʱ ə ɾ,/ld̪ʱ/ɾ,2,7,2.5
103,الرحمن,ə l ə ɾ ɦ m ə n,/l/ɾɦm/n,3,8,1.6666666666666667
104,الطبع,ə l t̪ ə b ʕ,/lt̪/bʕ,2,7,2.5
105,الفاظ,ə l f ɑː z,/lf/ːz,2,6,2
106,اللہ,ə l l ɑː,/ll/ː,2,5,1.5
107,المزاج,ə l m z ɑː d͡ʒ,/lmz/ːd͡ʒ,2,9,3.5
108,الناس,ə l n ɑː s,/ln/ːs,2,6,2
109,الگ,ə l ə ɡ,/l/ɡ,2,4,1
110,الیکشن,ə l eː kʰ ə ʃ ə n,/l/ːkʰ/ʃ/n,4,10,1.5
111,امر,ə m ɾ,/mɾ,1,3,2
112,امریکا,ə m ɾ iː k ɑː,/mɾ/ːk/ː,3,8,1.6666666666666667
113,امریکہ,ə m ɾ iː k iː,/mɾ/ːk/ː,3,8,1.6666666666666667
114,امریکی,ə m ɾ iː k iː,/mɾ/ːk/ː,3,8,1.6666666666666667
115,امکان,ə m k ɑː n,/mk/ːn,2,6,2
116,امید,ə m iː d̪,/m/ːd̪,2,6,2
117,امیر,ə m iː ɾ,/m/ːɾ,2,5,1.5
118,ان,ə n,/n,1,2,1
119,انتظار,ɪ n t̪ eː z ɑː ɾ,/nt̪/ːz/ːɾ,3,10,2.3333333333333335
120,انتظامیہ,ɪ n t̪ eː z ɑː m iː ɑː,/nt̪/ːz/ːm/ː/ː,5,14,1.8
121,انتقال,ɪ n t̪ ɪ q ɑː l,/nt̪/q/ːl,3,9,2
122,انتہا,ɪ n t̪ e ɦ ɑː,/nt̪/ɦ/ː,3,8,1.6666666666666667
123,انتہائی,ɪ n t̪ ɪ ɦ ɑː iː,/nt̪/ɦ/ː/ː,4,10,1.5
124,انحصار,ɪ n ɦ s ɑː ɾ,/nɦs/ːɾ,2,7,2.5
125,انداز,ə n d̪ ɑː z,/nd̪/ːz,2,7,2.5
126,اندر,ə n d̪ ə ɾ,/nd̪/ɾ,2,6,2
127,اندھیروں,ɪ n d̪ʱ ɛː ɾ ũː,/nd̪ʱ/ːɾũː,2,10,4
128,انسان,ɪ n s ɑː n,/ns/ːn,2,6,2
129,انسانیت,ə n s ɑː n ɪ j ə t̪,/ns/ːn/j/t̪,4,11,1.75
130,انصاف,ɪ n s ɑː f,/ns/ːf,2,6,2
131,انعقاد,ə n ɑː q ɑː d̪,/n/ːq/ːd̪,3,9,2
132,انعقادپائلٹس,ə n ɑː q ɑː d̪ p ɑː l ʈ s,/n/ːq/ːd̪p/ːlʈs,4,15,2.75
133,انڈا,ə ɳ ɖ ɑː,/ɳɖ/ː,2,5,1.5
134,انڈیز,ə ɳ ɖ iː z,/ɳɖ/ːz,2,6,2
135,انڈیل,ə ɳ ɖ eː l,/ɳɖ/ːl,2,6,2
136,انڈے,ɪ n ɖ ɪ eː,/nɖ/ː,2,6,1.5
137,انگریز,ə ŋ ɡ ɾ iː z,/ŋɡɾ/ːz,2,7,2.5
138,انگریزی,ə̃ ŋ ɡ ɾ eː z iː,/̃ŋɡɾ/ːz/ː,3,10,2.3333333333333335
139,انگلینڈنے,ʊ ŋ ɡ l iː ɳ ɖ n eː,/ŋɡl/ːɳɖn/ː,3,11,2.6666666666666665
140,انگیز,ə n ɡ iː z,/nɡ/ːz,2,6,2
141,انہوں,ɪ n ɦ ũː,/nɦũː,1,5,4
142,انہیں,ɪ n ɦ ẽː,/nɦẽː,1,5,4
143,او,ə uː,/ː,1,3,1
144,اور,ɔː ɾ,/ːɾ,1,3,2
145,اوراب,ɔː ɾ ɑː b,/ːɾ/ːb,2,6,2
146,اورفسادوالوں,ɔː ɾ f s ɑː d̪ uː d̪ ũː,/ːɾfs/ːd̪/ːd̪ũː,3,15,4
147,اورکی,ɔː ɾ k iː,/ːɾk/ː,2,6,2
148,اونٹ,ũː ʈ,ũːʈ,0,3,3
149,اونچا,ə ʋ ə n t͡ʃ ɑː,/ʋ/nt͡ʃ/ː,3,9,2
150,اونچائی,ə ʋ ə n t͡ʃ ɑː iː,/ʋ/nt͡ʃ/ː/ː,4,11,1.75
151,اوپر,uː p ə ɾ,/ːp/ɾ,2,5,1.5
152,ايجاد,ə iː d͡ʒ ɑː d̪,/ːd͡ʒ/ːd̪,2,10,3.5
153,اٹھائے,ə ʈʰ ɑː eː,/ʈʰ/ː/ː,3,7,1.3333333333333333
154,اٹھانے,ə ʈʰ ɑ̃ː eː,/ʈʰ/̃ː/ː,3,8,1.6666666666666667
155,اپ,ʊ p,/p,1,2,1
156,اپروچ,ə p ɾ oː t͡ʃ,/pɾ/ːt͡ʃ,2,8,3
157,اپریل,ə p ɾ ɛː l,/pɾ/ːl,2,6,2
158,اپنا,ʊ p n ɑː,/pn/ː,2,5,1.5
