,Word,Transcription,Clusters,No. Syllables(Vowels),No.Phonemes,Mean cluster length
72,abuja,ɑ ɓ u dʒ ɑ,/ɓ/dʒ/,3,6,1.5
73,abuja,ɑ ɓ u ʄ ɑ,/ɓ/ʄ/,3,5,1
74,abulmawahib,ɑ ɓ u l m ɑ w ɑ h i b,/ɓ/lm/w/h/b,5,11,1.2
75,abunuasi,ɑ ɓ u n u ɑ s i,/ɓ/n/s/,4,8,1
76,abunuwasi,ɑ ɓ u n u w ɑ s i,/ɓ/n/w/s/,5,9,1
77,abushiri,ɑ ɓ u ʃ i ɾ i,/ɓ/ʃ/ɾ/,4,7,1
78,abushuri,ɑ ɓ u ʃ u ɾ i,/ɓ/ʃ/ɾ/,4,7,1
79,abuso,ɑ ɓ u s ɔ,/ɓ/s/,3,5,1
80,abysia,ɑ ɓ j s i ɑ,/ɓjs/,2,6,3
81,abysinia,ɑ ɓ j s i n i ɑ,/ɓjs/n/,3,8,2
82,academy,ɑ tʃ ɑ ɗ ɛ m i,/tʃ/ɗ/m/,4,8,1.3333333333333333
83,accra,ɑ k ɾ ɑ,/kɾ/,2,4,2
84,acha,ɑ tʃ ɑ,/tʃ/,2,4,2
85,achague,ɑ tʃ ɑ ɠ u ɛ,/tʃ/ɠ/,3,7,1.5
86,achana,ɑ tʃ ɑ n ɑ,/tʃ/n/,3,6,1.5
87,achanganye,ɑ tʃ ɑ ŋ ɡ ɑ ɲ ɛ,/tʃ/ŋɡ/ɲ/,4,9,1.6666666666666667
88,achanjwe,ɑ tʃ ɑ n dʒ w ɛ,/tʃ/ndʒw/,3,9,3
89,achari,ɑ tʃ ɑ ɾ i,/tʃ/ɾ/,3,6,1.5
90,achelewe,ɑ tʃ ɛ l ɛ w ɛ,/tʃ/l/w/,4,8,1.3333333333333333
91,acheni,ɑ tʃ ɛ n i,/tʃ/n/,3,6,1.5
92,acheze,ɑ tʃ ɛ z ɛ,/tʃ/z/,3,6,1.5
93,achilia,ɑ tʃ i l i ɑ,/tʃ/l/,3,7,1.5
94,achiwa,ɑ tʃ i w ɑ,/tʃ/w/,3,6,1.5
95,achoma,ɑ tʃ ɔ m ɑ,/tʃ/m/,3,6,1.5
96,achukue,ɑ tʃ u k u ɛ,/tʃ/k/,3,7,1.5
97,achunguzwe,ɑ tʃ u ŋ ɡ u z w ɛ,/tʃ/ŋɡ/zw/,4,10,2
98,acvilla,ɑ v i l ɑ,/v/l/,3,5,1
99,ada,ɑ ɗ ɑ,/ɗ/,2,3,1
100,adabu,ɑ ɗ ɑ ɓ u,/ɗ/ɓ/,3,5,1
101,adaiwa,ɑ ɗ ɑ i w ɑ,/ɗ/w/,3,6,1
102,adam,ɑ ɗ ɑ m,/ɗ/m,2,4,1
103,adams,ɑ ɗ ɑ m s,/ɗ/ms,2,5,1.5
104,adamu,ɑ ɗ ɑ m u,/ɗ/m/,3,5,1
105,addis,ɑ ð ɑ n d i s,/ð/nd/s,3,7,1.3333333333333333
106,adebayor,ɑ ɗ ɛ ɓ ɑ j ɔ ɾ,/ɗ/ɓ/j/ɾ,4,8,1
107,ademir,ɑ ɗ ɛ m i ɾ,/ɗ/m/ɾ,3,6,1
108,aden,ɑ ɗ ɛ n,/ɗ/n,2,4,1
109,adenuga,ɑ ɗ ɛ n u ɠ ɑ,/ɗ/n/ɠ/,4,7,1
110,adeola,ɑ ɗ ɛ ɔ l ɑ,/ɗ/l/,3,6,1
111,adh,ɑ ð,/ð,1,2,1
112,adha,ɑ ð ɑ,/ð/,2,3,1
113,adhabu,ɑ ð ɑ ɓ u,/ð/ɓ/,3,5,1
114,adhari,ɑ ð ɑ ɾ i,/ð/ɾ/,3,5,1
115,adhebia,ɑ ð ɛ ɓ i ɑ,/ð/ɓ/,3,6,1
116,adhimisho,ɑ ð i m i ʃ ɔ,/ð/m/ʃ/,4,7,1
117,adhimu,ɑ ð i m u,/ð/m/,3,5,1
118,adhu,ɑ ð u,/ð/,2,3,1
119,adidas,ɑ ɗ i ɗ ɑ s,/ɗ/ɗ/s,3,6,1
120,adimu,ɑ ɗ i m u,/ɗ/m/,3,5,1
121,adiyy,ɑ ɗ i j,/ɗ/j,2,4,1
122,adolf,ɑ ɗ ɔ l f,/ɗ/lf,2,5,1.5
123,adrid,ɑ ɗ ɾ i ð ɑ,/ɗɾ/ð/,3,6,1.5
124,adui,ɑ ɗ u i,/ɗ/,2,4,1
125,adumu,ɑ ɗ u m u,/ɗ/m/,3,5,1
126,ae,ɑ ɛ,/,1,2,N/A
127,aegean,ɑ ɛ ɠ ɛ ɑ n,/ɠ/n,2,6,1
128,aelewe,ɑ ɛ l ɛ w ɛ,/l/w/,3,6,1
129,aeleze,ɑ ɛ l ɛ z ɛ,/l/z/,3,6,1
130,aelezee,ɑ ɛ l ɛ z ɛː,/l/z/ː,3,7,1
